"adrb_ph_mailinglists_delete_sure_no","Nein, nicht löschen","No, don´t delete","Ne, neodstranit","Ne, nesmazat","Nie, nie usuwać","Nu, nu şterge.",
"adrb_ph_mailinglists_delete_sure_yes","Ja, jetzt löschen","Yes, delete now","Ano, smazat","Ano, smazat","Tak, usunąć","Da, şterge acum.",
"adrb_ph_mailinglists_description","Erreichen Sie bequem und sicher eine größere Anzahl von Empfaengern.",,"Zastihněte pohodlně a bezpečně větší počet příjemců.","Zastihnete pohodlne a bezpecne vetší pocet príjemcu.","Dotrzesz wygodnie i pewnie do większej liczby odbiorców","Achiziţionarea rapidă şi comodă a unui număr mare de primitori.",
"adrb_ph_mailinglists_header_delete","Verteilerliste löschen","Delete mailing list","Smazat rozdělovník","Smazat rozdelovník","Skasuj listę dystrybutorów","Şterge lista mail-uri",
"adrb_ph_mailinglists_no_spam_see_ctac","Hinweis: Die Nutzung dieses Tools zum Versand von vom Empfänger nicht angeforderten Nachrichten (Spam oder Werbung) ist strengstens untersagt - nähere
Informationen dazu finden Sie in unseren Allgemeinen Geschäftsbedingungen.",,,,,"Indiciu: Folosirea uneltelor de trimitere a E-mail-ului către un utilizator care nu a solicitat acest lucru (SPAM sau RECLAMĂ) este interzisă - mai multe inforamţi găsiţi în condiţiile contractuale.",
"adrb_ph_mailings_description","Mit Hilfe dieses Tools können Sie ohne großen Aufwand Mailings an eine größere Personengruppe versenden.",,,,"Za pomocą tego narzędzia małym nakładem pracy mogą Państwo wysyłać mailingi do większej grupy osób.","Cu ajutorul acestui tool se pot trimite mail-uri la gurpe de persoane.",
"adrb_ph_mlist_add_new_members","Neue Mitglieder hinzufügen","Add new members",,,"Dodaj nowych członków","Inserează noi membri",
"adrb_ph_mlist_add_new_members_one_adr_p_line","Eine Adresse pro Zeile","One address per line",,,"Jeden adres = jeden wiersz","O singură adresă per rând",
"adrb_ph_mlist_add_new_members_submit","Eingegebene Adressen hinzufügen","Add entered addresses",,,"Dodaj wprowadzone adresy","Inserează adresele introduse",
"adrb_ph_mlist_back_to_administration","zurück zur Verteilerlistenverwaltung","Back to distribution list administration",,,"z powrotem do zarządzania listą mailingową","înapoi la administrator lista mail-uri ",
"adrb_ph_mlist_new_mailing","Neue Aussendung","New mailing",,,"Nowa wysyłka","Noi trimiteri",
"adrb_ph_mlist_new_mailing_no_members","Eine Aussendung kann erst erstellt werden, sobald diese Verteilerliste über Mitglieder verfügt - geben Sie diese nun bitte links ein!",,,,"Wysyłka może zostać wykonana dopiero gdy lista mailingowa zawiera członków - proszę wprowadzić ich teraz po lewej stronie!","Condiţia unei expedieri este ca lista de mail-uri să conţină membrii - creaţi lista acum aici în stânga!",
"adrb_ph_mlist_new_mlist","Neue Verteilerliste erstellen","Create new mailing list",,,"Stworzyć nową listę mailingową","Crează o nouă listă mailuri",
"adrb_ph_mlist_no_members_yet","(noch keine Mitglieder)","(no members yet)",,,"(brak jeszcze członków)","(nici un membru)",
"adrb_ph_mlist_no_mlists_defined","Sie haben zur Zeit keine Verteilerlisten definiert.","You haven´t defined any mailinglist at present",,,"Obecnie brak zdefiniowanych list mailingowych.","Momentan nu aveţi o listă de mailuri definită.",
"adrb_ph_mobile_access","Mobiler Zugriff","Mobile access","Mobilní přístup","Mobilní prístup","Mobilny dostęp","Acces mobil",
"adrb_ph_name_starts_with","Name beginnt mit ...","Name starts with","Jméno začíná na…..","Jméno zacíná na…..","Nazwa zaczyna się od…","Numele începe cu ...",
"adrb_ph_nav_data","Daten für %name%","Data for %name%","Data pro %jméno%","Data pro %jméno%","Dane dla %name/nazwy%","Date pentru %name%",
"adrb_ph_new_age","Zukünftiges Alter",,,,,"Noua Vârstă",
"adrb_ph_new_contact","Neuer Kontakt","New contact","Nový kontakt","Nový kontakt","Nowy kontakt","Contact nou",
"adrb_ph_next_contact","nächster Kontakt","Next contact","Další kontakt","Další kontakt","Następny  kontakt","Următorul contact ...",
"adrb_ph_no_contacts_created_search_without_results","Sie haben noch keine Kontakte angelegt/Kein Suchtreffer.","You haven´t created yet any contacts/no search result ","Nebyly přiloženy žádné kontakty/ žádná položka ve vyhledávání.","Nebyly priloženy žádné kontakty/ žádná položka ve vyhledávání.","Nie umieściłeś jeszcze żadnych kontaktów/ żadnego znalezionego wyniku","Încă nu aţi creat nici un contact/ Nici un resultat pentru căutarea dvs.",
"adrb_ph_no_private_data_available","Keine privaten Daten vorhanden.","No private data available","Žádná soukromá data","Žádná soukromá data","Nie ma prywatnych danych","Date personale nu sunt accesibile.",
"adrb_ph_outlooksync_click_here","Klicken Sie dafür bitte hier ...",,"Klikněte prosím zde...","Pro tohle nastavení kliknete prosím zde","Kliknij jeszcze raz na to","Vă rugăm faceţi clic aici ...",
"adrb_ph_outlook_no_contacts_yet","Sie haben noch keine Kontakte in Ihrem Adressbuch.","There are no contacts yet in your addressbook","Ve Vašem adresáři namáte ještě žádné kontakty. ","Ve vašem adresári namáte ješte žádné kontakty. ","Nie masz jeszcze żadnych kontaktów w swojej książce adresowej","Dvs. încă nu aveţi contacte în agendă.",
"adrb_ph_outlook_open_remote_edits","%RECORDCOUNT% offene RemoteEdit Anfragen",,"%RECORDCOUNT% otevřené dotazy REMOTE EDIT","%RECORDCOUNT% otevrené dotazy REMOTE EDIT","%RECORDCOUNT% otwarte zapytania RemoteEdit","%RECORDCOUNT% RemoteEdit deschis pentru cereri",
"adrb_ph_outlook_sync","Outlook-Abgleich","Outlook synchronisation","OUTLOOK nastavení","OUTLOOK nastavení","Outlook- wyrównanie","OutlookSinc",
"adrb_ph_own_contactcard","Eigene Kontaktkarte",,,,,"Propria carte de contacte",
"adrb_ph_pdawap","PDA/WAP","PDA/WAP","PDA/WAP","PDA/WAP","PDA/WAP","PDA/WAP",
"adrb_ph_previous_contact","vorheriger Kontakt","Previous contact","Předešlý kontakt","Predešlý kontakt","poprzedni kontakt","Contactul anterior",
"adrb_ph_private_data","Private Kontaktdaten","Private contact data","Osobní kontakty","Osobní kontakty","Prywatne dane kontaktowe","Date de contact personale",
"adrb_ph_private_notices","Private Notizen (nur für Sie sichtbar)",,,,,"Note personale (le vedeţi numai dvs.)",
"adrb_ph_quickadd","Kontakt hinzufügen","Add contact","Přidat kontakt","Pridat kontakt","Dodaj kontakt","Inserare contact",
"adrb_ph_quickadd_enable_remotedit","Diesem Kontakt erlauben seine Daten selbst zu vervollständigen (RemoteEdit)","Allow contact to complete own data","Povolení doplnění dat tomuto kontaktu","Povolení doplnení dat tomuto kontaktu","Ten kontakt pozwala na samodzielne uzupełnienie danych","Permite acestui contact actualizarea datelor",
"adrb_ph_remoteedit","RemoteEdit","Remote edit","Remote Edit","Remote Edit","RemoteEdit","RemoteEdit",
"adrb_ph_remoteedit_alert_on_showall","Folgende Kontakten haben ihre Daten selbst vervollstaendigt/korrigiert:","The following contacts have completed/corrected their data on their own.","Následující kontakty doplnily/opravily vlastní údaje:","Následující kontakty doplnily/opravily vlastní údaje:","Następujące kontakty same uzupełniły/skorygowały swoje dane","Următoarele contacte au modificat datele dvs.:",
"adrb_ph_remoteedit_comments_for_user","Anmerkungen für ","Annotations for","Poznámky pro","Poznámky pro","Uwagi do","Comentari pentru",
"adrb_ph_remoteedit_contact_has_updated_data1","Kontakt hat seine Daten selbst vervollstaendigt.","Contact has completed data itself","Data byla doplněna kontaktem.","Kontakt si doplnil své data ","Kontakt sam uzupełnił swoje dane","Contactul şi-a reactualizat singur datele",
"adrb_ph_remoteedit_contact_has_updated_data2","Werfen Sie nun einen Blick auf die gemachten Aenderungen und bestaetigen Sie diese dann.","Pleas have a look at the executed changes and confirm those please.","Zkontrolujte provedené změny a potvrďte je.","Podívejte se na provedené zmeny  a potvrdte je.","Rzuć okiem na dokonane zmiany i potwierdź je potem.","Aruncaţi o privire asupra modificărilor efectuate apoi confirmaţi.",
"adrb_ph_remoteedit_request_information","Senden Sie mir bitte eine kurze Information ueber InBox.cc","Please send a short piece of information about InBox.cc","Pošlete mi prosím krátkou informaci o virtuální kanceláři InBox.cc","Pošlete mne prosím krátkou informaci o virtuální kancelári InBox.cc","Prześlij mi krótka informację o InBoxcc.","Vă rog să îmi trimiteţi o informaţie pe scurt despre InBox.cc",
"adrb_ph_remote_edit_data_transfered","Ihre neuen Daten wurden erfolgreich uebermittelt.",,,,,"Noile date au fost transmise cu succes.",
"adrb_ph_remote_edit_hello","Guten Tag%SALUTATION%!","Hello!","Dobrý den!",,"Dzień dobry!","Bună ziua!",
"adrb_ph_remote_Edit_job_deleted_or_Executed","Diese RemoteEdit Freigabe wurde vom Besitzer gelöscht oder Sie haben Ihre Daten bereits korrigiert.",,,,,"Această eliberare de RemoteEdit a fost ştearsă de posesor sau dvs. aţi corectat deja datele. ",
"adrb_ph_remote_edit_mail_html_intro","Mein Name ist %NAME% und ich führe Sie als Kontakt in meinem Online-Büro auf <a href=""https://%BASEURL%/?source=remoteedit"">%PRODUCTNAME%.</a>
<br><br>
<b>Bitte überprüfen Sie nun die vorhandenen Angaben und korrigieren/vervollständigen Sie diese gegebenfalls.</b>","My name is %name% and you are one of my contacts in my weboffice <a href=""https://%BASEURL%/?source=remoteedit"">%PRODUCTNAME%.</a>.
<br><br>
<b>Please check the existing information and correct/complete if necessary.</b>
<br>
Please contact me under <a href=""mailto:%REPLYADDRESS%"">%REPLYADDRESS%</a> should there arise any questions.","Jmenuji se %NAME% a uvádím Vás jako kontakt v mé online kanceláři<ahref=""https://www.InBox.cc/?source=remoteedit"">www.InBox.cc</a><br><br>Zkontrolujte prosím zadané údaje a opravte/doplňte je.</b><br>Při dotazech mě zastihnete na <a href=""mailto:%REPLYADRESS%"">%REPLYADRESS%</a>.",,"Nazywam się %NAME% i wprowadzam Cię do mojego biura mobilnego <a href=""https://www.InBox.cc/?source=remoteedit"">www.InBox.cc.</a> <br><br> <b>. Proszę sprawdź wprowadzone już dane i skoryguj/uzupełnij brakujące. </b><br>. Jestem dostępny pod adresem  <a href=""mailto:%REPLYADDRESS%"">%REPLYADDRESS%</a>. ","Numele meu este %NAME% , mă bucur să vă am ca şi contact în office-ul meu online pe <a href=""https://www.InBox.cc/?source=remoteedit"">www.InBox.cc</a><br><br><b> Vă rog să verificaţi datele şi să le corectaţi/completaţi după caz.</b><br> Pentru întrebări ma găsiţi la <a href=""mailto:%REPLYADDRESS%"">%REPLYADDRESS%</a>.",
"adrb_ph_remote_edit_mail_html_intro_so_it_works","So funktioniert es:","- that´s how it works -","-Takhle to funguje-",,"-Tak funkcjonuje","-Aşa funcţionează-",
"adrb_ph_remote_edit_mail_html_please_click_here","Klicken Sie nun bitte <b>hier</b>, um Ihre Daten upzudaten.","Please click here to update your data. ","Pro vyvolání Vašich dat klikněte <b>zde</b>.",,"Kliknij tutaj aby zwolnić dane <b>tutaj</b>.","Pentru a face update datelor vă rugăm faceţi clic aici <b>hier</b>.",
"adrb_ph_remote_edit_mail_html_ssl_encrypted","SSL-verschluesselt","SSL – encrypting","Zakódováno pomocí SSL",,"Zakodowane - SSL","SSL-codificat",
"adrb_ph_remote_edit_mail_subject","Ihre Adressdaten bei %NAME%","Your address data at %NAME%","Vaše údaje o adrese u %NAME%",,"Twoje dane adresowe u %NAME%","Datele dvs. de contact către %NAME%",
"adrb_ph_remote_edit_mail_text","Ich habe Sie in meinem Online – Adressbuch gespeichert und organisiere gerade meine Kontakte neu.

Bitte nehmen Sie sich nun eine Minute Zeit und kontrollieren bzw zu vervollständigen Sie
selbst Ihre Daten – vielen Dank für die Mithilfe!","I lead you as contact in my online address book and I am checking my data for updates right now.

Please take a look at your data and add/edit them if necessary – thank you very much for your help!
","Dobrý den! %NAME% jste uvedeni jako kontakt v online kanceláři InBox.cc (https://www.InBox.cc/). %HE_OR_SHE% Vás žádá o překontrolování údajů a o případnou opravu nebo doplnění. S Vaší pomocí bude zlepšena komunikace s %NAME%a také můžete %HIM_OR_HER% pohodlně informovat např. o Vašich narozeninách nebo Vaší domovské stránce - Homepage. -Takhle to funguje- Pro zobrazení dat klikněte zde: %HREG_REMOTE_EDIT% (upozornění: Vaše data budou zakódována pomocí SSL!) Servis InBox.cc - your 24x7 office - https://www.InBox.cc/",,"Dzień dobry! %NAME% cieszy się Twoimi odwiedzinami w biurze online InBox.cc https://www.InBox.cc/).
%HE_OR_SHE% umożliwia sprawdzenie, skorygowanie i uzupełnienie danych. Dzięki Twojej pomocy poprawisz komunikcaje z %NAME% , masz możliwość poinformowania np.: o urodzinach o własnej Homepage itd. Tak to funkcjonuje - kliknij tutaj w celu pokazania Twoich danych: %HREF_REMOTE_EDIT% (uwaga: dane bedą pokazane w kodowanej wersji - SSL!) Serwis InBOx.cc  - your 24x7 office - https://www.InBox.cc/ ","Bună ziua! Dl./D-na %NAME% vă are ca şi contact în office-ul său online de pe Inbox.cc (https://InBox.cc/).%HE_OR_SHE% vă roagă să verificaţi datele trecute şi după caz să modificaţi sau să adăugaţi. Prin ajutorul dvs. comunicarea cu dl./d-na %NAME% va fi mai eficientă şi dvs. puteţi să-i %HIM_OR_HER% comunicaţi mai rapid de ex. data de naştere sau pagina dvs. web. -Aşa funcţionează - Faceţi clic aici, pentru a vedea datele dvs.: %HREF_REMOTE_EDIT% (Atenţie: Datele dvs. vor fi arătate în codificare -SSL!) Un serviciu oferit de InBox.cc - your 24x7 office-",
"adrb_ph_remote_edit_notific_mail_body","Guten Tag!

Soeben wurde ein Adressbucheintrag in Ihrem Adressbuch vom Kontakt selbst upgedatet.

Bitte klicken Sie hier um die von %NAME% vorgenommenen Änderungen
zu überprüfen und sie mit einem Klick zu übernehmen (wenn gewünscht):",,,,,"Bună ziua! Acum a fost o înscriere in agenda dvs., de către posesor, reânoită. Vă rugăm sa faceţi un clic pe %NAME% pentru a verifica modificările şi ale prelua apoi cu un clic (dacă sunt dorite):",
"adrb_ph_remote_edit_notific_mail_subject","RemoteEdit: Adressbuch-Eintrag %NAME% wurde upgedated",,,,,"RemoteEdit: Inserarea în agendă %NAME% a fost reânoită",
"adrb_ph_remote_edit_page_title","Adressdaten vervollständigen",,,,,"Completare date în agendă",
"adrb_ph_remote_edit_status","RemoteEdit Status","Remote edit status",,,,"Situaţia RemoteEdit",
"adrb_ph_remote_edit_status_description","Hier sehen Sie welche Kontakte bisher die Remote Edit Einladung erhalten bisher aber noch nicht ihre Daten korrigiert/vervollständigt haben.","Here you´ll find out which contacts have received the Remote Edit invitation up to now, however, not yet have corrected / completed their data.
",,,,"Aici puteţi vizualiza contactele care au primit o invitaţie RemoteEdit şi contactele care au corectat/modificat datele.",
"adrb_ph_remote_edit_vcard_attachment","Sie finden meine Visitenkarte auch als Attachment im vCard - Format.",,,,,"Ca ataşament găsiţi cartea mea de vizită in format vCard.",
"adrb_ph_re_active_no_reaction_yet","Remote Edit Job ist aktiv - bis jetzt noch keine Reaktion.","Active remote edit-no reaction yet",,,,"Reacţia RemoteEdit este activă - până acum nu a fost înregistrată nici o reacţie.",
"adrb_ph_re_cancel","Remote Edit abbrechen","Cancel remote edit","Přerušit Remote Edit","prerušit REMOTE EDIT","Przerwać Remote Edit ","Revocă Remote Edit",
